7	9000001	1e+07	1.335051
7	10000001	1.1e+07	1.22417
7	11000001	1.2e+07	1.27081
7	12000001	1.3e+07	1.756979
7	13000001	1.4e+07	1.276069
7	14000001	1.5e+07	1.365702
7	15000001	1.6e+07	1.087528
7	16000001	1.7e+07	1.101974
7	17000001	1.8e+07	1.03054
7	18000001	1.9e+07	0.965682
7	19000001	2e+07	0.889712
7	20000001	2.1e+07	0.931249
7	21000001	2.2e+07	0.89969
7	22000001	2.3e+07	0.699657
7	23000001	2.4e+07	0.629093
7	24000001	2.5e+07	0.778249
7	25000001	2.6e+07	0.696138
7	26000001	2.7e+07	0.678076
7	27000001	2.8e+07	0.845622
7	28000001	2.9e+07	0.619939
7	29000001	29697621	0.588914324540116
8	1	1e+06	0.530248
8	1000001	2e+06	0.992996
8	2000001	3e+06	0.885097
8	3000001	4e+06	0.666316
8	4000001	5e+06	0.891398
8	5000001	6e+06	0.846248
8	6000001	7e+06	1.447465
8	7000001	8e+06	1.295126
8	8000001	9e+06	1.041051
8	9000001	1e+07	1.164174
8	10000001	1.1e+07	1.110823
8	11000001	1.2e+07	1.319909
8	12000001	1.3e+07	1.512954
8	13000001	1.4e+07	1.644886
8	14000001	1.5e+07	1.27682
8	15000001	1.6e+07	1.106527
8	16000001	1.7e+07	1.222769
8	17000001	1.8e+07	1.132552
8	18000001	1.9e+07	1.131803
8	19000001	2e+07	0.890609
8	20000001	2.1e+07	0.816358
8	21000001	2.2e+07	0.763111
8	22000001	2.3e+07	0.882888
8	23000001	2.4e+07	0.772603
8	24000001	2.5e+07	0.600038
8	25000001	2.6e+07	0.810232
8	26000001	2.7e+07	0.640578
8	27000001	2.8e+07	0.59614
8	28000001	28443022	0.787376247680702
9	1	1e+06	1.387001
9	1000001	2e+06	1.189368
9	2000001	3e+06	1.42906
9	3000001	4e+06	1.301768
9	4000001	5e+06	1.246026
9	5000001	6e+06	1.245729
9	6000001	7e+06	1.061826
9	7000001	8e+06	1.125434
9	8000001	9e+06	1.211383
9	9000001	1e+07	1.06039
9	10000001	1.1e+07	1.135026
9	11000001	1.2e+07	1.028822
9	12000001	1.3e+07	0.770395
9	13000001	1.4e+07	1.112927
9	14000001	1.5e+07	0.883918
9	15000001	1.6e+07	0.772314
9	16000001	1.7e+07	0.684364
9	17000001	1.8e+07	0.795838
